trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_ubeta_1_0.500,600,35806,0,54192,53250,0,36748,54192,0,0,54190,36748,0,0,36748
temp_ubeta_1_0.667,600,47555,0,42443,59619,0,30379,42443,0,0,42441,30379,0,0,30378
temp_ubeta_1_0.800,600,55472,0,34526,64558,0,25440,34526,0,0,34501,25440,0,0,25440
temp_ubeta_1_1.000,600,66484,0,23514,71665,0,18333,23514,0,0,23494,18333,0,0,18326
temp_ubeta_1_1.250,600,77923,0,12075,79815,0,10183,12075,0,0,12059,10183,0,0,10183
temp_ubeta_1_1.500,600,88312,0,1686,88478,0,1520,1686,0,0,1686,1520,0,0,1520
temp_ubeta_1_2.000,600,89998,0,0,89998,0,0,0,0,0,0,0,0,0,0
temp_lbeta_1_0.500,625,10552,17003,62443,40316,366,49316,79446,27,33739,15424,49682,2,662,48205
temp_lbeta_1_0.667,625,11321,19946,58731,40591,397,49010,78677,11,42833,14934,49407,0,882,47929
temp_lbeta_1_0.800,625,12309,14244,63445,41003,302,48693,77689,0,46145,14578,48995,0,1002,47452
temp_lbeta_1_1.000,625,14004,11667,64327,41986,309,47703,75993,0,50222,14468,48012,0,1399,46175
temp_lbeta_1_1.250,625,16508,16483,57007,43028,510,46460,73490,0,52808,13697,46970,0,1766,44887
temp_lbeta_1_1.500,625,19891,9313,60794,44994,358,44646,70107,0,51897,13459,45004,0,2419,42304
temp_lbeta_1_2.000,625,34580,3939,51479,52322,332,37344,55418,0,33394,18810,37676,0,3469,33765
temp_ubeta_1_0.500,625,35876,0,54122,53041,0,36957,54122,0,0,54118,36955,0,0,36957
temp_ubeta_1_0.667,625,47071,0,42927,59322,0,30676,42927,0,0,42921,30676,0,0,30676
temp_ubeta_1_0.800,625,55348,0,34650,64406,0,25592,34650,0,0,34625,25592,0,0,25589
temp_ubeta_1_1.000,625,66566,0,23432,71646,0,18352,23432,0,0,23419,18352,0,0,18350
temp_ubeta_1_1.250,625,78189,0,11809,80121,0,9877,11809,0,0,11800,9877,0,0,9872
temp_ubeta_1_1.500,625,88611,0,1387,88735,0,1263,1387,0,0,1387,1263,0,0,1263
temp_ubeta_1_2.000,625,89998,0,0,89998,0,0,0,0,0,0,0,0,0,0
temp_lbeta_1_0.500,650,10188,16369,63441,40016,324,49658,79810,42,34591,15133,49982,0,677,48560
temp_lbeta_1_0.667,650,11087,19352,59559,40283,424,49291,78910,11,42555,15013,49715,0,921,48110
temp_lbeta_1_0.800,650,11951,15035,63012,40901,344,48753,78047,2,46492,14778,49097,0,1020,47570
temp_lbeta_1_1.000,650,14068,11618,64312,41862,310,47826,75930,0,50326,14374,48136,0,1409,46315
temp_lbeta_1_1.250,650,16581,16139,57278,43131,491,46376,73417,0,52241,13760,46867,0,1802,44752
temp_lbeta_1_1.500,650,19493,9081,61424,44609,321,45068,70504,0,52418,13121,45389,0,2255,42899
